date,revenue,purchases,salaries,rent,other_expenses
2021-06-09,42000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-10,57000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-11,30000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-12,41000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-13,15000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-14,42000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-15,32000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-16,24000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-17,45000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-18,41000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-19,39000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-20,28000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-21,20000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-22,21000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-23,25000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-24,30000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-25,32000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-26,29000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-27,47000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-28,26000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-29,31000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-06-30,24000.0,0.0,10151.233333333334,1666.6666666666667,0.0
2021-07-01,47000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-02,50000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-03,24000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-04,40000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-05,31000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-06,33000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-07,44000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-08,77000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-09,52000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-10,87000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-11,36000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-12,22000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-13,40000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-14,33000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-15,36000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-16,45000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-17,47000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-18,55000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-19,129000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-20,44032.25806451613,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-21,44032.25806451613,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-22,27000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-23,32000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-24,26000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-25,21000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-26,42000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-27,40000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-28,45000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-29,58000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-30,34000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-07-31,44000.0,16285.322580645161,9838.709677419354,1612.9032258064517,0.0
2021-08-01,40000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-02,47000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-03,40000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-04,50000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-05,70000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-06,41838.709677419356,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-07,56000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-08,51000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-09,87000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-10,73000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-11,57000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-12,41000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-13,20000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-14,30000.0,16290.322580645161,0.0,1612.9032258064517,0.0
2021-08-15,19000.0,16290.322580645161,0.0,1612.9032258064517,0.0
